links,title,time,content,class
https://nltimes.nl/2023/01/05/strong-rise-collective-agreement-wages-yet-historic-loss-purchasing-power,"Strong rise in collective agreement wages, yet historic loss of purchasing power",5 January 2023 - 08:59,,Business
https://nltimes.nl/2023/01/05/suspect-accused-making-threats-hague-extra-security-city-hall,Suspect accused of making threats against The Hague; Extra security at City Hall,5 January 2023 - 08:15,,CrimePolitics
https://nltimes.nl/2023/01/05/neo-nazi-text-rotterdam-bridge-tied-global-extremist-network-us-capitol-attack,"Neo-Nazi text on Rotterdam Bridge tied to global extremist network, U.S. Capitol attack",5 January 2023 - 07:45,,CrimePolitics
https://nltimes.nl/2023/01/05/austria-launches-criminal-probe-dutch-skiers-death-icy-slope,Austria launches criminal probe into Dutch skier's death on icy slope,5 January 2023 - 07:15,,Crime1-1-2Sports
https://nltimes.nl/2023/01/04/multiple-injuries-four-car-crash-truck-overturns-a6,Multiple injuries in four-car crash after truck overturns on the A6,4 January 2023 - 19:01,,1-1-2Weird
https://nltimes.nl/2023/01/04/second-suspect-24-arrested-last-weeks-fatal-shooting-rotterdam-man,"Second suspect, 24, arrested in last week's fatal shooting of Rotterdam man",4 January 2023 - 18:08,,Crime
https://nltimes.nl/2023/01/04/flu-epidemic-continuing-third-week-flu-cases-highest-point-3-years,Flu epidemic continuing into a third week; Flu cases at highest point in 3 years,4 January 2023 - 17:20,,Health
https://nltimes.nl/2023/01/04/number-fireworks-victims-back-pre-covid-levels,Number of fireworks victims back to pre-Covid levels,4 January 2023 - 16:32,,1-1-2
https://nltimes.nl/2023/01/04/70th-anniversary-north-sea-flood-killed-1836-netherlands-approaching,"70th Anniversary of North Sea flood that killed 1,836 in the Netherlands approaching",4 January 2023 - 15:44,,1-1-2CultureArt
https://nltimes.nl/2023/01/04/video-wind-turbine-topples-collapses-zeewolde,Video: Wind turbine topples over and collapses in Zeewolde,4 January 2023 - 12:55,,1-1-2
https://nltimes.nl/2023/01/04/noted-psychiatrist-reportedly-dies-klm-flight-paramaribo-amsterdam,Noted psychiatrist reportedly dies during KLM flight from Paramaribo to Amsterdam,4 January 2023 - 12:20,,1-1-2Business
https://nltimes.nl/2023/01/04/450-major-train-disruptions-2022-says-prorail,"About 450 major train disruptions in 2022, says ProRail",4 January 2023 - 11:20,,PoliticsBusiness
https://nltimes.nl/2023/01/04/dutch-population-grew-twice-fast-2022-2021-entirely-due-immigration,"Dutch population grew twice as fast in 2022 as 2021, entirely due to immigration",4 January 2023 - 10:30,,Politics
https://nltimes.nl/2023/01/04/cities-will-soon-monitor-sex-work-coercion-privacy-concerns-remain,"Cities will soon monitor sex work for coercion, but privacy concerns remain",4 January 2023 - 10:01,,HealthPoliticsCultureLifestyle
/2023/01/08/foreign-minister-hoekstra-summons-iranian-ambassador-executions,Foreign Minister Hoekstra summons Iranian ambassador over executions,8 January 2023 - 09:45,,Politics
/2023/01/08/many-people-still-looking-alleged-nazi-treasure-near-ommeren,Many people still looking for alleged Nazi treasure near Ommeren,8 January 2023 - 09:13,,PoliticsCultureWeird
